customer_id,telecom_partner,gender,age,state,city,pincode,date_of_registration,num_dependents,estimated_salary,calls_made,sms_sent,data_used,churn,estimated_salary_log
230797,Airtel,M,20.0,Tamil Nadu,Delhi,285677,2023-03-01,2,104752.0,38,47.0,1687.0,0,11.559360476992417
191986,Vodafone,F,68.0,Uttarakhand,Delhi,679704,2022-08-18,2,71706.0,43,33.0,991.0,0,11.180343650832073
18779,Vodafone,M,30.0,Goa,Mumbai,837926,2020-04-03,4,137473.0,-2,12.0,6803.0,0,11.831190087299731
241017,Vodafone,M,22.0,Madhya Pradesh,Chennai,679346,2023-04-21,0,58245.0,32,11.0,2832.0,0,10.97243069954219
136495,Reliance Jio,M,63.0,Tripura,Bangalore,839738,2021-11-14,4,85609.0,68,11.0,5375.0,0,11.357557377736532
194639,Reliance Jio,F,29.0,Maharashtra,Chennai,727186,2022-09-01,1,109178.0,39,36.0,1743.0,0,11.60074401610714
224853,BSNL,M,28.0,Karnataka,Bangalore,135728,2023-01-30,1,92840.0,13,11.0,3563.0,0,11.438643631549667
204474,Airtel,F,30.0,Uttarakhand,Hyderabad,191105,2022-10-20,1,98443.0,37,24.0,4671.0,0,11.497243137568121
238138,Airtel,M,74.0,Manipur,Chennai,500410,2023-04-06,4,70125.0,60,2.0,5198.0,0,11.158048902972876
29338,Vodafone,M,26.0,Uttarakhand,Delhi,228703,2020-05-26,4,77917.0,36,39.0,3032.0,0,11.263412270635875
64872,Vodafone,M,67.0,Manipur,Kolkata,675154,2020-11-20,2,141577.0,25,32.0,180.0,0,11.86060608093938
201351,Airtel,M,37.0,Jharkhand,Bangalore,248895,2022-10-04,4,86399.0,82,36.0,9912.0,0,11.366742954792146
151372,Reliance Jio,M,53.0,Karnataka,Delhi,261804,2022-01-27,0,54780.0,4,23.0,3117.0,0,10.911098697487983
108255,Reliance Jio,F,66.0,Haryana,Kolkata,802611,2021-06-25,3,40746.0,76,8.0,9288.0,0,10.61513749632705
137057,Vodafone,M,47.0,Sikkim,Chennai,175741,2021-11-16,4,61117.0,83,15.0,2203.0,0,11.02056170079192
159101,BSNL,F,35.0,Arunachal Pradesh,Chennai,407339,2022-03-07,0,109642.0,76,32.0,2103.0,0,11.604984912318923
130838,Reliance Jio,M,55.0,Uttar Pradesh,Mumbai,264321,2021-10-16,2,74625.0,57,2.0,249.0,0,11.220244250940128
227476,Airtel,M,47.0,Sikkim,Delhi,201260,2023-02-12,1,41885.0,8,2.0,1694.0,0,10.642706921198457
57801,Vodafone,M,34.0,Tamil Nadu,Mumbai,384458,2020-10-16,1,141409.0,21,29.0,8645.0,0,11.859418751301822
19506,Airtel,F,52.0,Meghalaya,Chennai,559473,2020-04-07,4,135266.0,19,40.0,5226.0,0,11.815005881970817
165055,BSNL,F,26.0,Bihar,Chennai,399894,2022-04-06,3,84953.0,3,31.0,4837.0,0,11.349865212513025
151391,BSNL,F,66.0,Madhya Pradesh,Kolkata,570878,2022-01-27,1,102484.0,81,23.0,4748.0,0,11.537471725388228
240043,BSNL,M,40.0,Chhattisgarh,Chennai,989829,2023-04-16,0,60397.0,64,31.0,906.0,0,11.008711270791892
117207,Reliance Jio,M,43.0,Punjab,Hyderabad,408313,2021-08-09,0,106674.0,-1,23.0,7203.0,0,11.577542108056202
165226,BSNL,M,38.0,Assam,Hyderabad,475138,2022-04-06,0,108099.0,19,32.0,3640.0,0,11.590812003627299
103848,Vodafone,F,22.0,Maharashtra,Kolkata,604425,2021-06-03,0,52217.0,44,-4.0,3817.0,1,10.863182542017569
166777,BSNL,F,56.0,Maharashtra,Hyderabad,872004,2022-04-14,1,64815.0,63,3.0,5609.0,0,11.079307765442472
142866,Reliance Jio,M,61.0,Himachal Pradesh,Bangalore,217426,2021-12-16,0,59609.0,40,1.0,8893.0,1,10.995578624213973
121713,Vodafone,F,21.0,West Bengal,Kolkata,718772,2021-09-01,3,76057.0,2,7.0,3059.0,0,11.23925148610629
84445,BSNL,M,68.0,Uttar Pradesh,Mumbai,380649,2021-02-26,1,118020.0,-8,-1.0,2269.0,0,11.678617853715409
42297,BSNL,M,28.0,Madhya Pradesh,Bangalore,974806,2020-07-30,1,49531.0,35,26.0,4337.0,0,10.81037420433499
98218,BSNL,F,25.0,Meghalaya,Kolkata,664068,2021-05-06,3,115836.0,60,37.0,2020.0,0,11.659939309494135
45306,BSNL,F,51.0,Chhattisgarh,Kolkata,984988,2020-08-14,0,24002.0,34,34.0,2983.0,0,10.085934101518234
222449,Vodafone,F,45.0,Jharkhand,Mumbai,978645,2023-01-18,4,90906.0,57,7.0,7876.0,1,11.4175922849014
185037,BSNL,F,56.0,Haryana,Hyderabad,839750,2022-07-15,4,71192.0,38,-1.0,7810.0,0,11.173149777960127
155690,BSNL,M,30.0,Telangana,Hyderabad,577903,2022-02-18,4,63856.0,90,29.0,7960.0,0,11.064401487401424
64530,Reliance Jio,M,20.0,Meghalaya,Chennai,940492,2020-11-18,2,104503.0,36,43.0,1067.0,0,11.5569806271664
81267,BSNL,M,29.0,Madhya Pradesh,Mumbai,463221,2021-02-10,2,128496.0,27,40.0,4583.0,1,11.76366083674138
123851,Airtel,F,21.0,Tripura,Kolkata,421217,2021-09-11,4,65162.0,69,41.0,2837.0,0,11.084647102171804
36010,BSNL,F,57.0,Manipur,Delhi,811403,2020-06-29,0,117176.0,15,19.0,8979.0,0,11.671440891132548
55951,Vodafone,M,25.0,Uttarakhand,Bangalore,458410,2020-10-07,4,72346.0,79,50.0,5881.0,0,11.189229266099721
13126,Airtel,M,33.0,Meghalaya,Chennai,551108,2020-03-06,3,52877.0,0,22.0,5694.0,0,10.875742652327716
213938,Reliance Jio,F,30.0,Kerala,Chennai,431990,2022-12-06,4,71289.0,37,49.0,4295.0,0,11.174511344111675
185220,Airtel,M,65.0,Uttar Pradesh,Kolkata,270774,2022-07-16,0,86980.0,84,46.0,434.0,0,11.373444982981379
27224,Airtel,M,52.0,Madhya Pradesh,Kolkata,941216,2020-05-16,3,28311.0,87,7.0,9165.0,0,10.2510410220253
198149,Reliance Jio,F,20.0,Nagaland,Bangalore,481305,2022-09-18,1,67439.0,72,42.0,2911.0,0,11.118993592675738
63067,Vodafone,M,54.0,Rajasthan,Hyderabad,611443,2020-11-11,0,87986.0,12,9.0,5498.0,1,11.384944355274868
165831,Airtel,M,62.0,Rajasthan,Kolkata,100825,2022-04-09,1,28361.0,24,9.0,1427.0,0,10.25280550002129
38013,BSNL,F,35.0,Gujarat,Chennai,441877,2020-07-09,2,49804.0,9,33.0,9655.0,0,10.815870659579266
145696,BSNL,F,45.0,Arunachal Pradesh,Mumbai,435603,2021-12-30,0,36623.0,26,22.0,7703.0,0,10.508459042192348
210634,Reliance Jio,M,29.0,Goa,Bangalore,815150,2022-11-20,0,30583.0,91,27.0,4946.0,0,10.328232275376248
219535,Airtel,M,35.0,Karnataka,Bangalore,646174,2023-01-03,0,35535.0,84,1.0,4946.0,1,10.478301546134208
80378,BSNL,M,61.0,Karnataka,Chennai,310804,2021-02-06,2,75218.0,43,50.0,7525.0,0,11.228159137599345
135220,BSNL,M,49.0,Rajasthan,Mumbai,696202,2021-11-07,0,45506.0,65,5.0,1877.0,0,10.725621439259783
109963,BSNL,F,26.0,Tamil Nadu,Bangalore,978467,2021-07-04,3,91824.0,69,28.0,5888.0,0,11.427639870687868
230776,Reliance Jio,F,72.0,Andhra Pradesh,Bangalore,217596,2023-03-01,0,89089.0,17,20.0,7303.0,0,11.397402373714689
35100,Vodafone,F,57.0,Jharkhand,Kolkata,150044,2020-06-24,0,106409.0,8,36.0,9747.0,0,11.575054836435777
191862,Vodafone,F,54.0,Andhra Pradesh,Mumbai,365980,2022-08-18,1,47912.0,16,19.0,616.0,0,10.777142145324419
196650,Vodafone,M,28.0,Tamil Nadu,Chennai,202751,2022-09-11,2,114358.0,9,13.0,6808.0,0,11.647097902081821
31193,Reliance Jio,F,18.0,Manipur,Mumbai,229528,2020-06-05,0,79095.0,48,8.0,10767.0,0,11.278417583576969
99520,BSNL,M,52.0,Karnataka,Delhi,464902,2021-05-13,3,69072.0,10,22.0,8109.0,0,11.142919195336972
193099,Airtel,M,35.0,Tamil Nadu,Bangalore,680098,2022-08-24,2,132420.0,50,8.0,2375.0,0,11.793741520179669
173968,Vodafone,M,74.0,Rajasthan,Mumbai,699419,2022-05-20,1,49734.0,81,8.0,4201.0,0,10.814464189586515
40731,BSNL,F,74.0,Karnataka,Hyderabad,437459,2020-07-22,1,25230.0,102,46.0,4886.0,0,10.13582867620438
196336,Airtel,M,20.0,Telangana,Kolkata,396787,2022-09-09,1,45795.0,80,24.0,1045.0,0,10.731952030043702
67545,BSNL,M,37.0,Goa,Mumbai,974346,2020-12-04,2,57420.0,8,23.0,4260.0,0,10.958165369058063
26180,BSNL,M,19.0,Uttar Pradesh,Bangalore,735141,2020-05-11,0,76680.0,57,28.0,3079.0,1,11.247409238284769
130033,BSNL,F,29.0,Goa,Delhi,611767,2021-10-12,2,148904.0,32,35.0,2602.0,0,11.911063797691932
214264,Reliance Jio,M,72.0,Himachal Pradesh,Chennai,521052,2022-12-08,0,140722.0,16,6.0,7047.0,0,11.854548698115405
200915,BSNL,M,34.0,Andhra Pradesh,Mumbai,760398,2022-10-02,0,106218.0,24,8.0,4809.0,0,11.573258279509178
114247,BSNL,M,66.0,Mizoram,Mumbai,651214,2021-07-25,4,93672.0,80,50.0,5611.0,0,11.4475652730203
12170,Airtel,M,42.0,Mizoram,Mumbai,198325,2020-03-01,4,79564.0,-3,-1.0,7638.0,0,11.284329576644284
18388,BSNL,M,20.0,Mizoram,Kolkata,150183,2020-04-02,0,85609.0,32,3.0,8416.0,0,11.357557377736532
195362,Vodafone,M,25.0,Punjab,Chennai,589691,2022-09-04,4,67056.0,94,42.0,3656.0,0,11.11329828296227
124842,Airtel,M,65.0,Madhya Pradesh,Chennai,816706,2021-09-16,2,144046.0,49,23.0,3391.0,0,11.87789491419376
133706,BSNL,M,29.0,Haryana,Bangalore,176377,2021-10-31,0,51957.0,30,18.0,3547.0,0,10.858190978896696
56078,BSNL,M,32.0,Manipur,Chennai,828831,2020-10-07,3,80510.0,2,3.0,3566.0,0,11.296149100034178
94758,BSNL,F,66.0,Uttarakhand,Kolkata,727240,2021-04-19,2,131847.0,77,39.0,8434.0,1,11.789405022914016
135617,BSNL,M,49.0,Meghalaya,Chennai,319965,2021-11-09,0,114419.0,60,26.0,7288.0,0,11.647631167822519
74412,Reliance Jio,F,63.0,Karnataka,Chennai,142010,2021-01-07,0,48812.0,7,47.0,8536.0,0,10.795751949807428
