customer_id,telecom_partner,gender,age,state,city,pincode,date_of_registration,num_dependents,estimated_salary,calls_made,sms_sent,data_used,churn
230797,Airtel,M,20.0,Tamil Nadu,Delhi,285677,01-03-2023,2,104752,38,47.0,1687.0,0
191986,Vodafone,F,68.0,Uttarakhand,Delhi,679704,18-08-2022,2,71706,43,33.0,991.0,0
18779,Vodafone,M,30.0,Goa,Mumbai,837926,03-04-2020,4,137473,-2,12.0,6803.0,0
241017,Vodafone,M,22.0,Madhya Pradesh,Chennai,679346,21-04-2023,0,58245,32,11.0,2832.0,0
136495,Reliance Jio,M,63.0,Tripura,Bangalore,839738,14-11-2021,4,unknown,68,11.0,5375.0,0
194639,Reliance Jio,F,29.0,Maharashtra,Chennai,727186,01-09-2022,1,109178,39,36.0,1743.0,0
224853,BSNL,M,28.0,Karnataka,Bangalore,135728,30-01-2023,1,92840,13,11.0,3563.0,0
204474,Airtel,F,30.0,Uttarakhand,Hyderabad,191105,20-10-2022,1,98443,37,,4671.0,0
238138,airtel,M,74.0,Manipur,Chennai,500410,06-04-2023,4,70125,60,2.0,5198.0,0
29338,Vodafone,M,26.0,,Delhi,228703,26-05-2020,4,77917,36,39.0,3032.0,0
64872,Vodafone,M,67.0,Manipur,Kolkata,675154,20-11-2020,2,141577,25,32.0,180.0,0
201351,Airtel,M,37.0,Jharkhand,Bangalore,248895,04-10-2022,4,86399,82,36.0,9912.0,0
151372,Reliance Jio,M,53.0,Karnataka,Delhi,261804,27-01-2022,0,54780,4,23.0,3117.0,0
108255,Reliance Jio,F,66.0,Haryana,Kolkata,802611,25-06-2021,3,40746,76,8.0,9288.0,0
137057,Vodafone,M,47.0,Sikkim,Chennai,175741,16-11-2021,4,61117,83,15.0,2203.0,0
159101,BSNL,F,35.0,Arunachal Pradesh,Chennai,407339,07-03-2022,0,109642,76,32.0,2103.0,0
130838,Reliance Jio,M,55.0,Uttar Pradesh,Mumbai,264321,16-10-2021,2,74625,57,2.0,249.0,0
227476,Airtel,M,47.0,Sikkim,Delhi,201260,12-02-2023,1,41885,8,2.0,1694.0,0
57801,Vodafone,M,34.0,Tamil Nadu,Mumbai,384458,16-10-2020,1,141409,21,29.0,8645.0,0
